,,Correlation Coefficient,Population,Sale Price,Density,Population Increase Rate,Sale Price Increase Rate
Los Angeles County,CA,0.6020122628905975,10105518.0,628852.0,2490.1520009,0.05947951765696451,1.802420720511952
Cook County,IL,-0.7126288671176165,5180493.0,246759.0,5482.3791333,-0.03590359060099177,0.38169122917039955
Harris County,TX,0.8676475506124816,4698619.0,192943.0,2755.4604659,0.37618338962210907,0.6746198444660464
Maricopa County,AZ,0.38218138576829774,4410824.0,261453.0,479.4764304,0.42643693141154976,0.7902834839769926
San Diego County,CA,0.46094778494633465,3343364.0,575416.0,794.38135555,0.18250131040693,1.4247235706580368
Orange County,CA,0.5586731913752465,3185968.0,734253.0,4018.7210395,0.11611612909102183,1.5577133422044491
Miami-Dade County,FL,0.3021253900222486,2761581.0,305572.0,1454.4185518,0.2222045684281711,1.2732290845248546
Dallas County,TX,0.7369358671102217,2637772.0,206937.0,3024.7732491,0.18773189340288035,0.7823416936539654
Kings County,NY,0.6443659498005823,2582830.0,761999.0,37231.866053,0.04694921698609569,2.182700621086881
Riverside County,CA,0.3928861669739947,2450758.0,377640.0,340.07325608,0.5720215396556093,1.272202166064982
Queens County,NY,0.3284122615274896,2278906.0,619313.0,20950.006967,0.02170140251001905,1.3548918209817864
King County,WA,0.7603202396122863,2233163.0,633889.0,1055.7194092,0.2841583913596767,1.5009133482993573
Clark County,NV,0.005759727169145028,2231647.0,267294.0,282.78581919,0.6009990609143064,0.6061217867829974
San Bernardino County,CA,0.4978535241024546,2171603.0,348727.0,108.25593326,0.2640024632764021,1.521434510682911
Tarrant County,TX,0.7939841538944469,2084931.0,212675.0,2414.102898,0.4310548493087124,0.8020403494352604
Bexar County,TX,0.9117915569130847,1986049.0,198000.0,1601.375402,0.41978890990639345,0.6992499270524021
Santa Clara County,CA,0.7054151492342156,1937570.0,1309005.0,1500.7291893,0.1499293449586248,1.8306421792185381
Broward County,FL,0.38966534173850476,1951260.0,254905.0,1621.8541187,0.1966515393106832,1.295572846310405
Wayne County,MI,0.76380654787099,1753893.0,101453.0,2865.8714869,-0.14745960029262295,-0.13676857232806078
Alameda County,CA,0.6476212368822243,1666753.0,885746.0,2260.6172815,0.14961168128896982,1.7930324444150136
New York County,NY,0.892825504619775,1628701.0,1299293.0,71886.166433,0.057222531996751806,2.2674532940019665
Middlesex County,MA,0.6013336380173933,1614714.0,543224.0,1974.3630351,0.1005051634079583,0.9890664762637081
Philadelphia County,PA,0.4009114637801995,1584138.0,169440.0,11801.421626,0.045937342982761364,1.2095009584414569
Sacramento County,CA,0.3531267768423025,1540975.0,364915.0,1596.1292848,0.2528863196578695,1.3077920353142807
Suffolk County,NY,0.6946404574244093,1481093.0,508636.0,1624.4022204,0.04003423962541457,1.1177900929746474
Palm Beach County,FL,0.44161768853548816,1485941.0,282167.0,755.96466773,0.30829195967201595,1.1041536167039523
Bronx County,NY,0.27268386937606276,1432132.0,398963.0,34057.851983,0.0733055588656086,1.028477585531902
Hillsborough County,FL,0.3784070375882028,1436888.0,225524.0,1406.1656524,0.43196918584661687,0.9370420950466816
