,index,New Residential Units,Population,Population Increase,Population Increase Cumulated,New Residential Units Cumulated
0,2001,4104,780865.0,2980.0,2980.0,5852
1,2002,3264,772723.0,-8142.0,-5162.0,9116
2,2003,2296,766160.0,-6563.0,-11725.0,11412
3,2004,3140,761325.0,-4835.0,-16560.0,14552
4,2005,1218,763016.0,1691.0,-14869.0,15770
5,2006,1915,768650.0,5634.0,-9235.0,17685
6,2007,2922,778673.0,10023.0,788.0,20607
7,2008,5103,791152.0,12479.0,13267.0,25710
8,2009,3586,801922.0,10770.0,24037.0,29296
9,2010,4614,805550.0,3628.0,27665.0,33910
10,2011,1239,815677.0,10127.0,37792.0,35149
11,2012,847,829027.0,13350.0,51142.0,35996
12,2013,5747,839841.0,10814.0,61956.0,41743
13,2014,6404,851116.0,11275.0,73231.0,48147
14,2015,9235,863836.0,12720.0,85951.0,57382
15,2016,8292,872795.0,8959.0,94910.0,65674
16,2017,15287,879166.0,6371.0,101281.0,80961
17,2018,12531,883305.0,4139.0,105420.0,93492
