RegionName,State,Population,StateCodeFIPS,MunicipalCodeFIPS,Year,Density,Metro
Aroostook County,ME,73872,23,3,2000-01-01,,
Aroostook County,ME,72962,23,3,2001-01-01,,
Aroostook County,ME,72942,23,3,2002-01-01,,
Aroostook County,ME,72944,23,3,2003-01-01,,
Aroostook County,ME,72959,23,3,2004-01-01,,
Aroostook County,ME,72881,23,3,2005-01-01,,
Aroostook County,ME,72827,23,3,2006-01-01,,
Aroostook County,ME,72711,23,3,2007-01-01,,
Aroostook County,ME,72542,23,3,2008-01-01,,
Aroostook County,ME,72258,23,3,2009-01-01,,
Cumberland County,ME,266109,23,5,2000-01-01,,"Portland-South Portland, ME"
Cumberland County,ME,268391,23,5,2001-01-01,,"Portland-South Portland, ME"
Cumberland County,ME,270533,23,5,2002-01-01,,"Portland-South Portland, ME"
Cumberland County,ME,273041,23,5,2003-01-01,,"Portland-South Portland, ME"
Cumberland County,ME,274920,23,5,2004-01-01,,"Portland-South Portland, ME"
Cumberland County,ME,276275,23,5,2005-01-01,,"Portland-South Portland, ME"
Cumberland County,ME,277084,23,5,2006-01-01,,"Portland-South Portland, ME"
Cumberland County,ME,278781,23,5,2007-01-01,,"Portland-South Portland, ME"
Cumberland County,ME,280681,23,5,2008-01-01,,"Portland-South Portland, ME"
Cumberland County,ME,281969,23,5,2009-01-01,,"Portland-South Portland, ME"
Franklin County,ME,29498,23,7,2000-01-01,,
Franklin County,ME,29631,23,7,2001-01-01,,
Franklin County,ME,30019,23,7,2002-01-01,,
Franklin County,ME,30026,23,7,2003-01-01,,
Franklin County,ME,30096,23,7,2004-01-01,,
Franklin County,ME,30226,23,7,2005-01-01,,
Franklin County,ME,30528,23,7,2006-01-01,,
Franklin County,ME,30596,23,7,2007-01-01,,
Franklin County,ME,30652,23,7,2008-01-01,,
Franklin County,ME,30779,23,7,2009-01-01,,
Hancock County,ME,51967,23,9,2000-01-01,,
Hancock County,ME,52109,23,9,2001-01-01,,
Hancock County,ME,52327,23,9,2002-01-01,,
Hancock County,ME,53030,23,9,2003-01-01,,
Hancock County,ME,53613,23,9,2004-01-01,,
Hancock County,ME,53745,23,9,2005-01-01,,
Hancock County,ME,54009,23,9,2006-01-01,,
Hancock County,ME,54300,23,9,2007-01-01,,
Hancock County,ME,54371,23,9,2008-01-01,,
Hancock County,ME,54499,23,9,2009-01-01,,
Kennebec County,ME,117177,23,11,2000-01-01,,"Augusta-Waterville, ME"
Kennebec County,ME,118024,23,11,2001-01-01,,"Augusta-Waterville, ME"
Kennebec County,ME,118611,23,11,2002-01-01,,"Augusta-Waterville, ME"
Kennebec County,ME,119538,23,11,2003-01-01,,"Augusta-Waterville, ME"
Kennebec County,ME,120303,23,11,2004-01-01,,"Augusta-Waterville, ME"
Kennebec County,ME,120957,23,11,2005-01-01,,"Augusta-Waterville, ME"
Kennebec County,ME,121508,23,11,2006-01-01,,"Augusta-Waterville, ME"
Kennebec County,ME,121741,23,11,2007-01-01,,"Augusta-Waterville, ME"
Kennebec County,ME,122147,23,11,2008-01-01,,"Augusta-Waterville, ME"
Kennebec County,ME,122084,23,11,2009-01-01,,"Augusta-Waterville, ME"
Knox County,ME,39666,23,13,2000-01-01,,
Knox County,ME,39884,23,13,2001-01-01,,
Knox County,ME,40258,23,13,2002-01-01,,
Knox County,ME,40393,23,13,2003-01-01,,
Knox County,ME,40514,23,13,2004-01-01,,
Knox County,ME,40571,23,13,2005-01-01,,
Knox County,ME,40417,23,13,2006-01-01,,
Fairfield County,CT,884364,9,1,2000-01-01,,"Bridgeport-Stamford-Norwalk, CT"
Fairfield County,CT,889063,9,1,2001-01-01,,"Bridgeport-Stamford-Norwalk, CT"
Fairfield County,CT,892900,9,1,2002-01-01,,"Bridgeport-Stamford-Norwalk, CT"
Fairfield County,CT,896342,9,1,2003-01-01,,"Bridgeport-Stamford-Norwalk, CT"
Fairfield County,CT,897472,9,1,2004-01-01,,"Bridgeport-Stamford-Norwalk, CT"
Fairfield County,CT,897653,9,1,2005-01-01,,"Bridgeport-Stamford-Norwalk, CT"
Fairfield County,CT,896254,9,1,2006-01-01,,"Bridgeport-Stamford-Norwalk, CT"
Fairfield County,CT,897498,9,1,2007-01-01,,"Bridgeport-Stamford-Norwalk, CT"
Fairfield County,CT,903824,9,1,2008-01-01,,"Bridgeport-Stamford-Norwalk, CT"
Fairfield County,CT,910421,9,1,2009-01-01,,"Bridgeport-Stamford-Norwalk, CT"
Hartford County,CT,858416,9,3,2000-01-01,,"Hartford-East Hartford-Middletown, CT"
Hartford County,CT,862573,9,3,2001-01-01,,"Hartford-East Hartford-Middletown, CT"
Hartford County,CT,867451,9,3,2002-01-01,,"Hartford-East Hartford-Middletown, CT"
Hartford County,CT,873335,9,3,2003-01-01,,"Hartford-East Hartford-Middletown, CT"
Hartford County,CT,874449,9,3,2004-01-01,,"Hartford-East Hartford-Middletown, CT"
Hartford County,CT,878081,9,3,2005-01-01,,"Hartford-East Hartford-Middletown, CT"
Hartford County,CT,881298,9,3,2006-01-01,,"Hartford-East Hartford-Middletown, CT"
Hartford County,CT,884548,9,3,2007-01-01,,"Hartford-East Hartford-Middletown, CT"
Hartford County,CT,887891,9,3,2008-01-01,,"Hartford-East Hartford-Middletown, CT"
Hartford County,CT,891667,9,3,2009-01-01,,"Hartford-East Hartford-Middletown, CT"
Litchfield County,CT,182597,9,5,2000-01-01,,"Torrington, CT"
Litchfield County,CT,184118,9,5,2001-01-01,,"Torrington, CT"
Litchfield County,CT,185974,9,5,2002-01-01,,"Torrington, CT"
Litchfield County,CT,187424,9,5,2003-01-01,,"Torrington, CT"
Litchfield County,CT,188601,9,5,2004-01-01,,"Torrington, CT"
Litchfield County,CT,188912,9,5,2005-01-01,,"Torrington, CT"
Litchfield County,CT,189682,9,5,2006-01-01,,"Torrington, CT"
Litchfield County,CT,189866,9,5,2007-01-01,,"Torrington, CT"
Litchfield County,CT,190175,9,5,2008-01-01,,"Torrington, CT"
Litchfield County,CT,190015,9,5,2009-01-01,,"Torrington, CT"
Middlesex County,CT,155593,9,7,2000-01-01,,"Hartford-East Hartford-Middletown, CT"
Middlesex County,CT,157006,9,7,2001-01-01,,"Hartford-East Hartford-Middletown, CT"
Middlesex County,CT,159187,9,7,2002-01-01,,"Hartford-East Hartford-Middletown, CT"
Middlesex County,CT,160864,9,7,2003-01-01,,"Hartford-East Hartford-Middletown, CT"
Middlesex County,CT,161450,9,7,2004-01-01,,"Hartford-East Hartford-Middletown, CT"
Middlesex County,CT,162191,9,7,2005-01-01,,"Hartford-East Hartford-Middletown, CT"
Middlesex County,CT,163473,9,7,2006-01-01,,"Hartford-East Hartford-Middletown, CT"
Middlesex County,CT,164129,9,7,2007-01-01,,"Hartford-East Hartford-Middletown, CT"
Middlesex County,CT,164962,9,7,2008-01-01,,"Hartford-East Hartford-Middletown, CT"
Middlesex County,CT,165607,9,7,2009-01-01,,"Hartford-East Hartford-Middletown, CT"
New Haven County,CT,824911,9,9,2000-01-01,,"New Haven-Milford, CT"
New Haven County,CT,829875,9,9,2001-01-01,,"New Haven-Milford, CT"
New Haven County,CT,835099,9,9,2002-01-01,,"New Haven-Milford, CT"
New Haven County,CT,841939,9,9,2003-01-01,,"New Haven-Milford, CT"
New Haven County,CT,844505,9,9,2004-01-01,,"New Haven-Milford, CT"
New Haven County,CT,847162,9,9,2005-01-01,,"New Haven-Milford, CT"
New Haven County,CT,850207,9,9,2006-01-01,,"New Haven-Milford, CT"
New Haven County,CT,853598,9,9,2007-01-01,,"New Haven-Milford, CT"
New Haven County,CT,856622,9,9,2008-01-01,,"New Haven-Milford, CT"
New Haven County,CT,860025,9,9,2009-01-01,,"New Haven-Milford, CT"
New London County,CT,259848,9,11,2000-01-01,,"Norwich-New London, CT"
New London County,CT,261396,9,11,2001-01-01,,"Norwich-New London, CT"
New London County,CT,264698,9,11,2002-01-01,,"Norwich-New London, CT"
New London County,CT,266584,9,11,2003-01-01,,"Norwich-New London, CT"
New London County,CT,268595,9,11,2004-01-01,,"Norwich-New London, CT"
New London County,CT,269664,9,11,2005-01-01,,"Norwich-New London, CT"
New London County,CT,270814,9,11,2006-01-01,,"Norwich-New London, CT"
New London County,CT,270669,9,11,2007-01-01,,"Norwich-New London, CT"
New London County,CT,272634,9,11,2008-01-01,,"Norwich-New London, CT"
New London County,CT,273630,9,11,2009-01-01,,"Norwich-New London, CT"
Tolland County,CT,136863,9,13,2000-01-01,,"Hartford-East Hartford-Middletown, CT"
Tolland County,CT,138934,9,13,2001-01-01,,"Hartford-East Hartford-Middletown, CT"
Tolland County,CT,142362,9,13,2002-01-01,,"Hartford-East Hartford-Middletown, CT"
Tolland County,CT,145195,9,13,2003-01-01,,"Hartford-East Hartford-Middletown, CT"
Tolland County,CT,146706,9,13,2004-01-01,,"Hartford-East Hartford-Middletown, CT"
